Checkpoint not found, starting fresh: checkpoints/flat__pair__every_10pct_of_2500__scaling_attack__median.params
Scaling attack: train with labels 7 -> 1 on Byzantine clients; attack success rate = fraction of test images with true label 7 that the global model predicts as 1 (FLTrust).
[median - scaling_attack] Iteration 1729. Test_acc 0.1003  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 1739. Test_acc 0.1000  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 1749. Test_acc 0.1085  Attack_succ_rate 0.0010 (src=7 tgt=1)
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2500__scaling_attack__median__iter_001750.params
[median - scaling_attack] Iteration 1759. Test_acc 0.1046  Attack_succ_rate 0.0010 (src=7 tgt=1)
[median - scaling_attack] Iteration 1769. Test_acc 0.1040  Attack_succ_rate 0.0040 (src=7 tgt=1)
[median - scaling_attack] Iteration 1779. Test_acc 0.1000  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 1789. Test_acc 0.1000  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 1799. Test_acc 0.1005  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 1809. Test_acc 0.0993  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 1819. Test_acc 0.1010  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 1829. Test_acc 0.1010  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 1839. Test_acc 0.0891  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 1849. Test_acc 0.0965  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 1859. Test_acc 0.1218  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 1869. Test_acc 0.1005  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 1879. Test_acc 0.1001  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 1889. Test_acc 0.0993  Attack_succ_rate 0.0000 (src=7 tgt=1)
